node_id,role,timestamp,x,y,z
0,TAG,0.741323709487915,3.632,5.556,-0.633
0,TAG,0.7561461925506592,3.631,5.561,-0.596
0,TAG,0.7669708728790283,3.633,5.568,-0.583
0,TAG,0.7778501510620117,3.66,5.575,-0.499
0,TAG,0.7886495590209961,3.643,5.57,-0.703
0,TAG,0.79952073097229,3.624,5.562,-0.577
0,TAG,0.8103713989257812,3.636,5.569,-0.616
0,TAG,0.8212261199951172,3.649,5.575,-0.536
0,TAG,0.8212435245513916,3.664,5.58,-0.588
0,TAG,0.8361132144927979,3.659,5.578,-0.491
0,TAG,0.846954345703125,3.658,5.574,-0.626
0,TAG,0.8578126430511475,3.652,5.576,-0.627
0,TAG,0.8686397075653076,3.665,5.578,-0.593
0,TAG,0.8795161247253418,3.653,5.579,-0.496
0,TAG,0.8903543949127197,3.662,5.569,-0.576
0,TAG,0.9012043476104736,3.662,5.571,-0.606
0,TAG,0.9012222290039062,3.648,5.567,-0.622
0,TAG,0.916102409362793,3.643,5.573,-0.569
0,TAG,0.9269318580627441,3.661,5.573,-0.521
0,TAG,0.9378130435943604,3.672,5.59,-0.631
0,TAG,0.9486799240112305,3.683,5.593,-0.576
0,TAG,0.9595353603363037,3.641,5.583,-0.566
0,TAG,0.9703567028045654,3.653,5.574,-0.603
0,TAG,0.981156587600708,3.641,5.578,-0.681
0,TAG,0.9811642169952393,3.655,5.586,-0.598
0,TAG,0.996098518371582,3.652,5.581,-0.538
0,TAG,1.006929874420166,3.659,5.577,-0.618
0,TAG,1.0177662372589111,3.653,5.577,-0.657
0,TAG,1.028608798980713,3.669,5.582,-0.631
0,TAG,1.0395138263702393,3.65,5.579,-0.555
0,TAG,1.0503489971160889,3.663,5.582,-0.618
0,TAG,1.0612359046936035,3.667,5.59,-0.613
0,TAG,1.0612585544586182,3.665,5.59,-0.604
0,TAG,1.0760183334350586,3.651,5.571,-0.562
0,TAG,1.0869343280792236,3.656,5.578,-0.615
0,TAG,1.0977685451507568,3.673,5.582,-0.609
0,TAG,1.1085984706878662,3.673,5.586,-0.595
0,TAG,1.1195545196533203,3.666,5.576,-0.516
0,TAG,1.1303465366363525,3.652,5.562,-0.603
0,TAG,1.1411960124969482,3.659,5.572,-0.657
0,TAG,1.1412229537963867,3.632,5.563,-0.661
0,TAG,1.1574137210845947,3.641,5.567,-0.575
0,TAG,1.1669905185699463,3.647,5.572,-0.545
0,TAG,1.1777563095092773,3.663,5.582,-0.541
0,TAG,1.1885550022125244,3.671,5.587,-0.605
0,TAG,1.1994142532348633,3.645,5.571,-0.618
0,TAG,1.2103400230407715,3.641,5.561,-0.541
0,TAG,1.22113037109375,3.621,5.558,-0.622
0,TAG,1.2211487293243408,3.645,5.559,-0.561
0,TAG,1.2361972332000732,3.653,5.57,-0.578
0,TAG,1.2468478679656982,3.647,5.565,-0.493
0,TAG,1.257737159729004,3.655,5.571,-0.593
0,TAG,1.268552303314209,3.652,5.566,-0.628
0,TAG,1.279409646987915,3.654,5.575,-0.567
0,TAG,1.2902624607086182,3.648,5.574,-0.48
0,TAG,1.3011095523834229,3.651,5.57,-0.565
0,TAG,1.3011484146118164,3.656,5.568,-0.529
0,TAG,1.3159942626953125,3.625,5.567,-0.619
0,TAG,1.3268473148345947,3.642,5.567,-0.541
0,TAG,1.337723970413208,3.634,5.564,-0.507
0,TAG,1.3485698699951172,3.647,5.571,-0.525
0,TAG,1.3594269752502441,3.644,5.579,-0.548
0,TAG,1.3702898025512695,3.603,5.572,-0.541
0,TAG,1.3811006546020508,3.604,5.561,-0.599
0,TAG,1.3811237812042236,3.6,5.55,-0.597
0,TAG,1.3961427211761475,3.61,5.555,-0.616
0,TAG,1.406853199005127,3.615,5.561,-0.545
0,TAG,1.4176766872406006,3.629,5.566,-0.47
0,TAG,1.4285352230072021,3.648,5.568,-0.558
0,TAG,1.4393906593322754,3.654,5.561,-0.524
0,TAG,1.4502713680267334,3.634,5.559,-0.516
0,TAG,1.4611246585845947,3.628,5.56,-0.501
0,TAG,1.4611477851867676,3.621,5.563,-0.529
0,TAG,1.4759714603424072,3.636,5.561,-0.529
0,TAG,1.4868297576904297,3.639,5.564,-0.526
0,TAG,1.4976592063903809,3.622,5.563,-0.584
0,TAG,1.5086162090301514,3.606,5.556,-0.516
0,TAG,1.5193266868591309,3.617,5.564,-0.568
0,TAG,1.530210256576538,3.637,5.559,-0.286
0,TAG,1.5411057472229004,3.635,5.563,-0.504
0,TAG,1.5411345958709717,3.63,5.559,-0.505
0,TAG,1.5559625625610352,3.607,5.556,-0.605
0,TAG,1.5667951107025146,3.615,5.555,-0.601
0,TAG,1.5776679515838623,3.604,5.565,-0.585
0,TAG,1.588487148284912,3.631,5.568,-0.445
0,TAG,1.5993430614471436,3.642,5.575,-0.526
0,TAG,1.6101760864257812,3.643,5.572,-0.572
0,TAG,1.6210737228393555,3.62,5.561,-0.532
0,TAG,1.6210989952087402,3.591,5.543,-0.656
0,TAG,1.6361093521118164,3.582,5.55,-0.615
0,TAG,1.6467845439910889,3.608,5.557,-0.531
0,TAG,1.657623291015625,3.631,5.569,-0.584
0,TAG,1.6685118675231934,3.639,5.563,-0.459
0,TAG,1.6793279647827148,3.623,5.561,-0.577
0,TAG,1.6901710033416748,3.624,5.559,-0.574
0,TAG,1.701073169708252,3.648,5.564,-0.537
0,TAG,1.7011096477508545,3.635,5.561,-0.479
